Site,Code,Dataset,Country,State,County,AQSCode,Latitude,Longitude,Elevation,StartDate,EndDate,DemographicCode,LandUseCode,StreetAddress,LocD,esc,Sponsor,ProgramKey,NumPOCs
Egbert,EGBE1,IMPFSPED,CA,ON,-999,-999,44.23115,-79.78322,251,9/1/05,12/31/18,-999,-999,-999,-999,,-999,IMPROVE,1
El Dorado Springs,ELDO1,IMPFSPED,US,MO,29039,290390001,37.7009,-94.0348,297,3/3/02,12/29/15,-999,Unknown,-999,-999,,STATE,IMPROVE,1
Ellis,ELLI1,IMPFSPED,US,OK,40045,400450890,36.0853,-99.9354,697,3/3/02,10/18/15,-999,Unknown,-999,-999,,STATE,IMPROVE,1
Everglades NP,EVER1,IMPFSPED,US,FL,12086,120860030,25.391,-80.6806,1,9/3/88,12/31/18,-999,Unknown,-999,Behi,nd Everglades Research Center,NPS,IMPROVE,2
Flat Tops,FLTO1,IMPFSPED,US,CO,8103,-999,39.9153,-107.6345,2593,10/27/11,12/31/18,-999,Unknown,-999,-999,,-999,IMPROVE,1
Flathead,FLAT1,IMPFSPED,US,MT,30047,300479000,47.7734,-114.269,1580,6/1/02,12/31/18,-999,Unknown,-999,-999,,TRIBE,IMPROVE,1
Forest County Potawatomi Community,FCPC1,IMPFSPED,US,WI,55041,550410007,45.56495,-88.80838,564,11/17/16,12/31/18,-999,-999,-999,-999,,Native American Trib,al Government  IMPROVE,1
Fort Peck,FOPE1,IMPFSPED,US,MT,30085,300859000,48.308,-105.1022,638,6/1/02,12/31/18,-999,Unknown,-999,-999,,TRIBE,IMPROVE,1
Fresno,FRES1,IMPFSPED,US,CA,6019,60190008,36.7818,-119.7732,100,9/3/04,12/31/18,-999,-999,3425 N First St.,-999,,-999,IMPROVE,1
Frostburg Reservoir (Big Piney Run),FRRE1,IMPFSPED,US,MD,24023,240239000,39.7058,-79.0122,767,3/1/04,12/31/18,-999,-999,-999,-999,,STATE,IMPROVE,2
Gates of the Arctic NP,GAAR1,IMPFSPED,US,AK,2261,-999,66.9025,-151.517,196,11/2/08,10/30/15,-999,Unknown,"Resource Management, P.O. Box 260","30,Bettles, AK 99726  Bett",les Radio Tower,-999,SFU,1
Gates of the Mountains,GAMO1,IMPFSPED,US,MT,30049,300499000,46.8262,-111.7107,2387,7/26/00,12/31/18,-999,Unknown,-999,-999,,USFS,IMPROVE,2
Gila Wilderness,GICL1,IMPFSPED,US,NM,35003,350039000,33.2204,-108.2351,1775,3/2/94,12/31/18,-999,Unknown,-999,Abov,e Visitor Center,USFS,IMPROVE,1
Glacier NP,GLAC1,IMPFSPED,US,MT,30029,300299001,48.5105,-113.9966,975,3/2/88,12/31/18,-999,Unknown,-999,2 mi,les NW of park HQ at Apgar stables,NPS,IMPROVE,1
